Timestamp	Dans quelle entreprise ou laboratoire travaillez-vous ?	Etes-vous...	Est-ce que les applications sur lesquelles vous travaillez communiquent avec d'autres applications/systèmes ?	Combien de VM avez-vous dans votre SI ?	Quels sont les trois problèmes les plus importants que vous rencontrez dans le SI sur lequel vous travaillez ?	Quel est votre degré de connaissance du SI sur lequel vous travaillez ?	Quelles sont les trois principales difficultés que vous avez à surmonter pour bien connaître votre SI ?	A quel point est-ce difficile de trouver où placer une nouvelle fonctionnalité dans le SI sur lequel vous travaillez ?	Quelles sont les 3 contraintes qui vous bloquent le plus lorsque vous devez déterminer où placer une nouvelle fonctionnalité dans le SI ?	Combien de temps cela vous prend-il, en moyenne ?	A quel point est-il complexe d’ajouter une fonctionnalité dans votre SI ?	Dans quelle mesure avez-vous les outils et informations nécessaires à votre disposition pour mesurer l’impact technique qu’aura l’ajout d’une fonctionnalité à votre SI ?	Quels sont les trois facteurs qui vous ralentissent le plus lorsque vous concevez de nouvelles fonctionnalités ?	Lorsque vous vous rendez compte que l’ajout d’une nouvelle fonctionnalité nécessite de créer une nouvelle version majeure de l’API, préférez-vous .. ?	Pour quelles raisons prenez-vous cette décision ? 	Dans une architecture micro-services, plus les responsabilités sont isolées, plus le nombre de micro-services augmente. Par conséquent, il devient fréquent qu'un autre service, souvent front-end, soit client de l'API de plusieurs micro-services afin d'agréger l'information dispersée dans le SI. En tant qu'architecte du SI, vous prenez en compte cette problématique en ...	Dans quelle mesure avez-vous les moyens de réaliser de nouvelles fonctionnalités dans un temps raisonnable ?	Tout ou partie des technologies que vous devez utiliser vous sont-elles imposées ?	Dans quelle mesure diriez-vous que les technologies qui vous sont imposées vous ralentissent et/ou limitent vos possibilités ?	Dans le cas où vous consommez une API, quelle part du temps de développement consacrez-vous à réécrire les contrats métier (rôles utilisateurs, modèles de données, ordre des opérations, droits d’accès, règles de validation) déjà écrits sur le serveur ?	Quels sont les 3 facteurs qui vous empêchent le plus d’être à même de réaliser de nouvelles fonctionnalités dans un temps raisonnable ?	Dans quelle mesure vous est-il difficile d’identifier une anomalie ?	Dans quelle mesure les outils de monitoring que vous utilisez vous permettent d’être prévenu de dysfonctionnement ?	Quels sont les trois éléments qui vous manquent le plus pour identifier et qualifier les anomalies de production au mieux ?	Lorsqu’il s’agit de corriger les anomalies de fonctionnement, le problème se situe-t-il majoritairement du côté des développeurs ou de l’infrastructure ?	Quels sont les trois facteurs qui vous ralentissent le plus dans la correction des anomalies qui surviennent en production ?	Dans quelle mesure empêcher les régressions est un problème compliqué dans votre SI ?	Dans quelle mesure identifier les régressions est un problème compliqué dans votre SI ?	A quelle fréquence rencontrez-vous des problèmes liés à des régressions ?	Quels sont les 3 éléments qui vous manquent le plus pour augmenter votre confiance de ne pas avoir de régressions ?	Pourquoi n’avez-vous pas encore ces outils ?	A quel point vous est-il difficile de mettre à jour le SI ?	Quels sont les trois facteurs qui freinent le plus votre capacité à mettre à jour le SI ?	Quels rôles prennent part aux discussions entourant le métier pour lequel vous concevez et développez votre SI ?	Faites-vous régulièrement des points pour analyser l’adéquation entre le métier et le SI ?	Quelles méthodes de travail/conception utilisez-vous pour travailler sur les problématiques métier ?	Formalisez-vous un dictionnaire des termes métier ?	Si oui, avec quels outils ?	Avez-vous des dictionnaires de donnée standardisés pour votre métier ?	Avez-vous des dictionnaires et des structures de données standardisés pour votre métier ?	Comment intégrez-vous les concepts métier au travers du SI ?	A quels endroits de votre SI peut-on les retrouver ? 	Avez-vous un service (au sens informatique) responsable de détenir le dictionnaire du métier ?	Comment vous assurez-vous que les concepts métier sont utilisés uniformément au travers du SI ?
11/13/2018 16:31:15	Fabernovel	Architecte et développeur	Oui	Entre 100 et 500	Difficulté à garder la connaissance du fonctionnement du SI; Difficulté à concevoir une nouvelle fonctionnalité et étudier ses impacts; Difficulté à identifier et qualifier les anomalies de fonctionnement	3	Documentation incomplète ou pas à jour; Connaissance du SI diffuse et peu accessible (à l’inverse de centralisée et accessible); Nombre d’interlocuteurs élevé	4	Découpage fonctionnel flou; Hétérogénéité des technologies; Architecture trop rigide / couplage entre les composants très fort	Entre une semaine et un mois	5	2	Trouver les fonctionnalités similaires et garder une cohérence globale; Négociation des contrats d’interfaces; Intégration du legacy	Trouver une solution de contournement quitte à avoir plusieurs versions d’une même fonctionnalité		Créant des proxy qui créent une API pour un client à partir des APIs déjà existantes	3		2		Méthodologie de travail; Changements de direction fréquents; Spécifications pas assez riches	2	1	Un accès aux logs de production et au monitoring applicatif pour les développeurs; La capacité à monitorer certaines technologies utilisées en production; Réduire l’hétérogénéité des solutions de déploiement (VM; docker; Cloud; etc.)	Développeurs	Impossibilité de reproduire les tests; Environnements de test et production très différents; Couplages entre systèmes forts et documentation erronée	3	4	Chaque semaine	Processus de livraison et déploiement continus; Equipes dédiées à la QA (Quality Assurance)		4	Couplage entre les systèmes; Peur de casser quelque chose en mettant à jour une dépendance, liée à la faible couverture de tests; Délai d’acceptation des nouvelles versions par la direction de la SI	Utilisateur finaux; Développeurs; Chef de projet; Top management; Architecte; Designer	Oui		Oui		Non	Non			Oui	
11/15/2018 16:24:56	Fabernovel	Architecte et développeur	Oui	Moins de 100	Difficulté à identifier et qualifier les anomalies de fonctionnement; Difficulté à empêcher les régressions en cas d’ajout de fonctionnalité; Difficulté à mettre à jour technologiquement le SI	4	Documentation incomplète ou pas à jour; Connaissance détenue par un intervenant extérieur; Nombre d’interlocuteurs élevé	2	Découpage fonctionnel flou; Directions à suivre, imposées par la SI, peu claires ou changeantes; Disponibilité et budget des équipes projet	Entre un jour et une semaine	2	3	Couplage client/serveur et éventualité de casser un client; Négociation des contrats d’interfaces; Besoin métier à clarifier	Trouver une solution de contournement quitte à avoir plusieurs versions d’une même fonctionnalité	Les clients ne se mettent pas facilement à jour.	Avec un serveur GraphQL qui joue le rôle de proxy au dessus de toutes les APIs	4	Oui	2	20%	Méthodologie de travail; Changements de direction fréquents; Spécifications pas assez riches	2	2	Procédures d’exploitation détaillant comment résoudre les problèmes d’exploitation les plus courants; Des outils d’audit détectant les valeurs incohérentes calculées par le système; Un accès aux logs de production et au monitoring applicatif pour les développeurs	Développeurs	Impossibilité de reproduire les tests; Environnements de test et production très différents; Couplages entre systèmes forts et documentation erronée	1	3	Chaque semaine	Outils de détection automatique des régressions; Equipes dédiées à la QA (Quality Assurance)	Manque de moyens	4	Couplage entre les systèmes; Catalogue de technologies imposées par la direction de la SI; Délai d’acceptation des nouvelles versions par la direction de la SI	Développeurs; Chef de projet; Top management; Architecte	Non		Non		Non	Oui	Utilisation d'un vocabulaire commun	Dans les couches proches de l'utilisateur	Non	
11/16/2018 13:43:13	Fabernovel	Architecte et développeur	Oui	Moins de 100	Difficulté à garder la connaissance du fonctionnement du SI; Difficulté à identifier et qualifier les anomalies de fonctionnement; Difficulté à mettre à jour technologiquement le SI	4	Documentation incomplète ou pas à jour; Nombre d’interlocuteurs élevé	2	Découpage fonctionnel flou; Directions à suivre, imposées par la SI, peu claires ou changeantes; Disponibilité et budget des équipes projet	Entre un jour et une semaine	2	3	Versionnement des APIs; Trouver les fonctionnalités similaires et garder une cohérence globale; Connaissance du SI incomplète	Trouver une solution de contournement quitte à avoir plusieurs versions d’une même fonctionnalité		Créant des proxy qui créent une API pour un client à partir des APIs déjà existantes	3		1	10%	Méthodologie de travail; Changements de direction fréquents; Spécifications pas assez riches	3	4	Des outils d’audit détectant les valeurs incohérentes calculées par le système; Un accès aux logs de production et au monitoring applicatif pour les développeurs; La capacité à monitorer certaines technologies utilisées en production	Développeurs	Perte de la connaissance du projet; Manque de compétences sur les technologies de développement utilisées	2	2	Moins de une fois par mois	Fixer un taux de couverture minimal pour passer une application en production; Outils de détection automatique des régressions; Tests de non-régressions métier écrits par le métier		0	Couplage entre les systèmes; Contrats immuables conclus entre les équipes projet; Processus de déploiement longs	Utilisateur finaux; Développeurs; Designer	Non		Oui	html	Oui	Oui	les concepts métiers sont modélisées dans notre code	dans le code	Oui	impossible de savoir
11/22/2018 16:06:48	Fabernovel	Consultant	Oui	Moins de 100	Difficulté à garder la connaissance du fonctionnement du SI	1	Connaissance du SI diffuse et peu accessible (à l’inverse de centralisée et accessible); Pas de référentiel des applications en production; Applications mises en production par les équipes sans transparence (shadow IT)	3	Hétérogénéité des technologies; Architecture trop rigide / couplage entre les composants très fort; Règles de sécurité fortes à respecter	Plus de trois mois	3	2	Couplage client/serveur et éventualité de casser un client; Intégration du legacy; Connaissance du SI incomplète		les cas clients couvrent ....		2	Oui	3	20%	Technologies imposées; Compétence des équipes projet; Méthodologie de travail	2	2	Des outils d’audit détectant les valeurs incohérentes calculées par le système; Un accès aux logs de production et au monitoring applicatif pour les développeurs; La capacité à monitorer certaines technologies utilisées en production	Infrastructure	Impossibilité de reproduire les tests; Environnements de test et production très différents; Processus métier trop rigides	2	2	Moins de une fois par mois	Outils de détection automatique des régressions; Tests de non-régressions métier écrits par le métier; Equipes dédiées à la QA (Quality Assurance)		3	Couplage entre les systèmes; Catalogue de technologies imposées par la direction de la SI; Peur de casser quelque chose en mettant à jour une dépendance, liée à la faible confiance dans l’éditeur de la technologie	Chef de projet; Business analyst	Non		Non		Non	Non			Non	
11/23/2018 11:56:53	Fabernovel	Consultant	Oui	Plus de 3 000	Difficulté à concevoir une nouvelle fonctionnalité et étudier ses impacts; Difficulté à réaliser, dans un temps raisonnable, une fonctionnalité; Difficulté à empêcher les régressions en cas d’ajout de fonctionnalité	1	Documentation incomplète ou pas à jour; Connaissance détenue par un intervenant extérieur; Applications mises en production par les équipes sans transparence (shadow IT)	4	Découpage fonctionnel flou; Architecture trop rigide / couplage entre les composants très fort; Directions à suivre, imposées par la SI, peu claires ou changeantes	Entre une semaine et un mois	3	0	Couplage client/serveur et éventualité de casser un client; Trouver les fonctionnalités similaires et garder une cohérence globale; Intégration du legacy	Trouver une solution de contournement quitte à avoir plusieurs versions d’une même fonctionnalité		Créant des proxy qui créent une API pour un client à partir des APIs déjà existantes	1	Non	4	40% et plus	Méthodologie de travail; Changements de direction fréquents; Mise à jour des tests de non-régression	3	3	Procédures d’exploitation détaillant comment résoudre les problèmes d’exploitation les plus courants; Un accès aux logs de production et au monitoring applicatif pour les développeurs; La capacité à monitorer certaines technologies utilisées en production	Développeurs	Impossibilité de reproduire les tests; Environnements de test et production très différents; Perte de la connaissance du projet	4	5	Chaque semaine	Processus de livraison et déploiement continus; Tests de non-régressions métier écrits par le métier; Equipes dédiées à la QA (Quality Assurance)	Budget / Manque de ROI 	4	Couplage entre les systèmes; Peur de casser quelque chose en mettant à jour une dépendance, liée à la faible confiance dans l’éditeur de la technologie; Processus de déploiement longs	Développeurs; Chef de projet; Architecte	Non		Non		Non	Non			Non	
12/5/2018 10:31:00	Fabernovel	Architecte et développeur	Oui	Je ne sais pas		2	Nombre d’interlocuteurs élevé; Pas de référentiel des applications en production; Applications mises en production par les équipes sans transparence (shadow IT)	4	Directions à suivre, imposées par la SI, peu claires ou changeantes	Entre une semaine et un mois	4	4	Trouver les fonctionnalités similaires et garder une cohérence globale; Adaptation aux technologies imposées; Intégration du legacy	Faire la nouvelle version majeure		Avec un serveur GraphQL qui joue le rôle de proxy au dessus de toutes les APIs	4	Oui	1	10%	Méthodologie de travail; Spécifications pas assez riches; Mise à jour des tests de non-régression	4	4	Des outils d’audit détectant les valeurs incohérentes calculées par le système; Un accès aux logs de production et au monitoring applicatif pour les développeurs; La capacité à monitorer certaines technologies utilisées en production	Développeurs	Environnements de test et production très différents; Mauvaise maitrise des technologies utilisées en production (peut être causé par leur hétérogénéité ou une trop grande diversité par exemple); Perte de la connaissance du projet	5	5	Chaque semaine	Outils de détection automatique des régressions; Tests de non-régressions métier écrits par le métier; Equipes dédiées à la QA (Quality Assurance)		5	Contrats immuables conclus entre les équipes projet; Peur de casser quelque chose en mettant à jour une dépendance, liée à la faible couverture de tests; Peur de casser quelque chose en mettant à jour une dépendance, liée à la faible confiance dans l’éditeur de la technologie	Développeurs; Chef de projet; Designer	Oui		Non		Non	Non			Je ne sais pas	
12/5/2018 16:08:00	Inria	Architecte et développeur	Oui	Entre 1 000 et 3 000	Difficulté à garder la connaissance du fonctionnement du SI; Difficulté à empêcher les régressions en cas d’ajout de fonctionnalité; Difficulté à mettre à jour technologiquement le SI	3	Documentation incomplète ou pas à jour; Connaissance du SI diffuse et peu accessible (à l’inverse de centralisée et accessible);	1	Hétérogénéité des technologies; Règles de sécurité fortes à respecter; Disponibilité et budget des équipes projet	Entre un jour et une semaine	2	1	Adaptation aux technologies imposées; Intégration du legacy; Besoin métier à clarifier	Faire la nouvelle version majeure	Pour limiter la dette technique et conserver une maintenabilité du SI tout en l'enrichissant		3	Oui	3	10%	Changements de direction fréquents; Spécifications pas assez riches	4	1	Procédures d’exploitation détaillant comment résoudre les problèmes d’exploitation les plus courants; La capacité à monitorer certaines technologies utilisées en production; Réduire l’hétérogénéité des solutions de déploiement (VM; docker; Cloud; etc.)	Développeurs	Impossibilité de reproduire les tests; Perte de la connaissance du projet; Couplages entre systèmes forts et documentation erronée	3	3	Moins de une fois par mois	Fixer un taux de couverture minimal pour passer une application en production; Outils de détection automatique des régressions; Tests de non-régressions métier écrits par le métier		1	Couplage entre les systèmes; Peur de casser quelque chose en mettant à jour une dépendance, liée à la faible couverture de tests; Peur de casser quelque chose en mettant à jour une dépendance, liée à la faible confiance dans l’éditeur de la technologie	Développeurs; Chef de projet; Architecte; Représentant des utilisateurs (Directions Fonctionnelles)	Non	Agile	Non		Non	Non	Dans les référentiels de données	Dans le hub de données centralisant certains référentiels, ou dans les référentiels eux même	Non	en partageant les référentiels et les typologies
12/5/2018 16:35:29	Orange	Consultant	Oui	Entre 100 et 500	Difficulté à concevoir une nouvelle fonctionnalité et étudier ses impacts; Difficulté à réaliser, dans un temps raisonnable, une fonctionnalité; Difficulté à identifier et qualifier les anomalies de fonctionnement	4	Connaissance du SI diffuse et peu accessible (à l’inverse de centralisée et accessible); Nombre d’interlocuteurs élevé	3	Architecture trop rigide / couplage entre les composants très fort	Entre un et trois mois	3	2	Versionnement des APIs; Intégration du legacy; Besoin métier à clarifier	Trouver une solution de contournement quitte à avoir plusieurs versions d’une même fonctionnalité		Créant des proxy qui créent une API pour un client à partir des APIs déjà existantes	3	Oui	1	10%	Méthodologie de travail; Changements de direction fréquents; Spécifications pas assez riches	2	5		Développeurs	Impossibilité de reproduire les tests	3	2	Moins de une fois par mois	Fixer un taux de couverture minimal pour passer une application en production; Equipes dédiées à la QA (Quality Assurance)		2		Utilisateur finaux; Chef de projet; Architecte; Designer	Oui	Agile	Non		Non	Non			Non	
12/5/2018 17:01:28	Inria	Architecte	Oui	Entre 1 000 et 3 000	Difficulté à garder la connaissance du fonctionnement du SI; Difficulté à réaliser, dans un temps raisonnable, une fonctionnalité; Difficulté à mettre à jour technologiquement le SI	4	Documentation incomplète ou pas à jour; Nombre d’interlocuteurs élevé; Applications mises en production par les équipes sans transparence (shadow IT)	3	Hétérogénéité des technologies; Règles de sécurité fortes à respecter; Disponibilité et budget des équipes projet	Entre une semaine et un mois	3	1	Couplage client/serveur et éventualité de casser un client; Trouver les fonctionnalités similaires et garder une cohérence globale; Besoin métier à clarifier	Remettre en question la nécessité de développer cette fonctionnalité		Spécialisant les APIs au mieux pour un client spécifique	2	Non	2	20%	Technologies imposées; Compétence des équipes projet; Méthodologie de travail	2	3	Procédures d’exploitation détaillant comment résoudre les problèmes d’exploitation les plus courants; La capacité à monitorer certaines technologies utilisées en production; Réduire l’hétérogénéité des solutions de déploiement (VM; docker; Cloud; etc.)	Développeurs	Impossibilité de reproduire les tests; Mauvaise maitrise des technologies utilisées en production (peut être causé par leur hétérogénéité ou une trop grande diversité par exemple); Manque de compétences sur les technologies de développement utilisées	4	3	Chaque mois	Processus de livraison et déploiement continus; Outils de détection automatique des régressions; Tests de non-régressions métier écrits par le métier		2	Couplage entre les systèmes; Peur de casser quelque chose en mettant à jour une dépendance, liée à la faible couverture de tests; Processus de déploiement longs	Utilisateur finaux; Chef de projet; Top management	Non		Non		Non	Non			Non	
12/6/2018 0:42:10	Mediego	CTO	Oui	Moins de 100	Difficulté à garder la connaissance du fonctionnement du SI; Difficulté à identifier et qualifier les anomalies de fonctionnement; Difficulté à empêcher les régressions en cas d’ajout de fonctionnalité	5	Documentation incomplète ou pas à jour; Manque de connaissances ou compétences	1		Moins de un jour	1	1	Couplage client/serveur et éventualité de casser un client; Trouver les fonctionnalités similaires et garder une cohérence globale; Intégration du legacy	Faire la nouvelle version majeure	Même si on l'évite au maximum, si une version majeure est la solution la plus simple à développer et maintenir, alors on n'hésite pas à le faire.	Minimisant le nombre de micro-services	5	Non	2	10%	Technologies imposées	3	2	Des outils d’audit détectant les valeurs incohérentes calculées par le système; La capacité à monitorer certaines technologies utilisées en production	Infrastructure	Impossibilité de reproduire les tests	5	5	Moins de une fois par mois	Tests de non-régressions métier écrits par le métier; L'inertie du système en production peut cacher une régression pendant plusieurs jours	Dans notre cas, le contexte d'un bug est constitué de données diverses et en grand nombre. C'est donc coûteux de créer les données de test pour vérifier les régressions.	1		Utilisateur finaux; Développeurs; service commercial	Oui	Nous gardons un contact étroit avec nos clients afin de développer uniquement les besoins métiers dans les meilleurs délais. Pour cela, nous évitons de mettre en place des processus trop lourds pour la mise en production. Nous essayons aussi de découper les fonctionnalités à implémenter pour que le cycle de mise en production soit le plus cours possible.	Non				Chaque service a une dépendance vers une librairie décrivant les concepts principaux	Partout !	Non	Chaque service a une dépendance vers une librairie décrivant les concepts principaux
12/7/2018 11:49:17	Groupe UP France	pilote de la stratégie technique	Oui	Entre 500 et 1000	Difficulté à garder la connaissance du fonctionnement du SI; Difficulté à réaliser, dans un temps raisonnable, une fonctionnalité; Difficulté à identifier et qualifier les anomalies de fonctionnement	3	Documentation incomplète ou pas à jour; Pas de référentiel des applications en production; Applications mises en production par les équipes sans transparence (shadow IT)	2	Hétérogénéité des technologies; Architecture trop rigide / couplage entre les composants très fort; Inadéquation entre les compétences des équipes projet et les technologies utilisées par certaines briques du SI	Plus de trois mois	3	3	Trouver les fonctionnalités similaires et garder une cohérence globale; Intégration du legacy; Besoin métier à clarifier	Faire la nouvelle version majeure	pour garder la cohérence globale 	Spécialisant les APIs au mieux pour un client spécifique	3	Non	3	10%	Compétence des équipes projet; Changements de direction fréquents; Spécifications pas assez riches	2	3	Procédures d’exploitation détaillant comment résoudre les problèmes d’exploitation les plus courants; La capacité à monitorer certaines technologies utilisées en production; Réduire l’hétérogénéité des solutions de déploiement (VM; docker; Cloud; etc.)	Développeurs	Impossibilité de reproduire les tests; Processus métier trop rigides; Manque de compétences sur les technologies de développement utilisées	4	3	Moins de une fois par mois	Processus de livraison et déploiement continus; Tests de non-régressions métier écrits par le métier; Equipes dédiées à la QA (Quality Assurance)	choix et urgences de projets et budgets 	4	Couplage entre les systèmes; Processus de déploiement longs; Délai d’acceptation des nouvelles versions par la direction de la SI	Chef de projet; Top management; Architecte	Non	il n'y a pas de méthode spécifique ... c'est à l'initiative des individus et au gré des problèmes 	Oui	CBL	Non	Non	processus d'étude et de validation 	base documentaire	Non	revue tous les 6 mois 
12/7/2018 17:25:33	Fabernovel	Développeur	Oui	Je ne sais pas	Difficulté à garder la connaissance du fonctionnement du SI; Difficulté à identifier et qualifier les anomalies de fonctionnement; Difficulté à empêcher les régressions en cas d’ajout de fonctionnalité	3	Documentation incomplète ou pas à jour; Connaissance détenue par un intervenant extérieur; Nombre d’interlocuteurs élevé	2	Découpage fonctionnel flou; Architecture trop rigide / couplage entre les composants très fort; Directions à suivre, imposées par la SI, peu claires ou changeantes; Disponibilité et budget des équipes projet	Entre un jour et une semaine	2	2	Couplage client/serveur et éventualité de casser un client; Trouver les fonctionnalités similaires et garder une cohérence globale; Intégration du legacy	Faire la nouvelle version majeure	J'aurais dis remettre en question la nécessité de la développer mais si il s'avère que c'est une fonctionnalité importante. rien n'empeche d'ajouter de livré une new version...		2	Oui	3	20%	Technologies imposées; Réécriture des contrats métier; Spécifications pas assez riches	2	1	Des outils d’audit détectant les valeurs incohérentes calculées par le système; Un accès aux logs de production et au monitoring applicatif pour les développeurs; La capacité à monitorer certaines technologies utilisées en production	Développeurs	Impossibilité de reproduire les tests; Environnements de test et production très différents; Perte de la connaissance du projet	2	2	Chaque mois	Processus de livraison et déploiement continus; Outils de détection automatique des régressions; Tests de non-régressions métier écrits par le métier	Equipes dédiées à la QA (Quality Assurance)	2	Couplage entre les systèmes; Catalogue de technologies imposées par la direction de la SI; Peur de casser quelque chose en mettant à jour une dépendance, liée à la faible couverture de tests	Utilisateur finaux; Top management; Architecte	Oui	DDD	Oui	Excel	Non	Non			Non	Validation du Swagger
12/8/2018 9:39:25	LCL	Architecte et développeur	Oui	Entre 100 et 500	Difficulté à identifier où positionner une nouvelle fonctionnalité; Difficulté à réaliser, dans un temps raisonnable, une fonctionnalité; Difficulté à mettre à jour technologiquement le SI	4	Documentation incomplète ou pas à jour; Applications mises en production par les équipes sans transparence (shadow IT)	3	Architecture trop rigide / couplage entre les composants très fort; Inadéquation entre les compétences des équipes projet et les technologies utilisées par certaines briques du SI; Règles de sécurité fortes à respecter; Disponibilité et budget des équipes projet	Plus de trois mois	3	2	Intégration du legacy; Besoin métier à clarifier; Budget alloué non suffisant	Trouver une solution de contournement quitte à avoir plusieurs versions d’une même fonctionnalité	Trop de client	Spécialisant les APIs au mieux pour un client spécifique	2	Oui	4	20%	Technologies imposées; Compétence des équipes projet; Changements de direction fréquents	4	2	Des outils d’audit détectant les valeurs incohérentes calculées par le système; Un accès aux logs de production et au monitoring applicatif pour les développeurs; La capacité à monitorer certaines technologies utilisées en production	Infrastructure	Impossibilité de reproduire les tests; Environnements de test et production très différents; Mauvaise maitrise des technologies utilisées en production (peut être causé par leur hétérogénéité ou une trop grande diversité par exemple)	3	4	Chaque semaine	Processus de livraison et déploiement continus; Tests de non-régressions métier écrits par le métier	Infogérant a la traîne, métier non impliqué	3	Catalogue de technologies imposées par la direction de la SI; Processus de déploiement longs	Développeurs; Chef de projet; Architecte	Non	Agile et cycle en V							Je ne sais pas	
12/8/2018 10:12:17	Labanquepostale	Expert SI	Oui	Plus de 3 000	Difficulté à garder la connaissance du fonctionnement du SI; Difficulté à identifier où positionner une nouvelle fonctionnalité; Difficulté à empêcher les régressions en cas d’ajout de fonctionnalité	4	Documentation incomplète ou pas à jour; Connaissance du SI diffuse et peu accessible (à l’inverse de centralisée et accessible); Nombre d’interlocuteurs élevé	4	Découpage fonctionnel flou; Règles de sécurité fortes à respecter	Plus de trois mois	4	0	Intégration du legacy; Connaissance du SI incomplète	Trouver une solution de contournement quitte à avoir plusieurs versions d’une même fonctionnalité	Impact à gérer : quick change	Créant des proxy qui créent une API pour un client à partir des APIs déjà existantes	1	Non	3	10%	Spécifications pas assez riches; Mise à jour des tests de non-régression	4	1	Procédures d’exploitation détaillant comment résoudre les problèmes d’exploitation les plus courants; Des outils d’audit détectant les valeurs incohérentes calculées par le système; La capacité à monitorer certaines technologies utilisées en production	Développeurs	Environnements de test et production très différents; Perte de la connaissance du projet; Couplages entre systèmes forts et documentation erronée	4	4	Chaque semaine	Fixer un taux de couverture minimal pour passer une application en production; Tests de non-régressions métier écrits par le métier; Equipes dédiées à la QA (Quality Assurance)	Les outils sont là, mais sans gouvernance	5	Peur de casser quelque chose en mettant à jour une dépendance, liée à la faible couverture de tests; Peur de casser quelque chose en mettant à jour une dépendance, liée à la faible confiance dans l’éditeur de la technologie; Délai d’acceptation des nouvelles versions par la direction de la SI	Développeurs; Chef de projet; Top management; Architecte	Non	GDI(support transformé en shadow evolution) et parfois GDP(si impact fort)	Non				Organisations Entité Urbanisation et Entité Métier	Multi Portails	Je ne sais pas	Pas de procédures mises en place
